init 1678302689891
Regular_callback2_latency 3184647 62
Regular_callback1_latency 4270696 62
Regular_callback3_latency 2106298 63
Regular_callback2_latency 3187233 63
Regular_callback1_latency 4277403 63
Regular_callback3_latency 2109852 64
Regular_callback2_latency 3189857 64
Regular_callback1_latency 4276420 64
Regular_callback3_latency 2109444 65
Regular_callback2_latency 3191349 65
Regular_callback1_latency 4278539 65
Regular_callback3_latency 2111470 66
Regular_callback2_latency 3193321 66
Regular_callback1_latency 4273443 66
Regular_callback3_latency 2112812 67
Regular_callback2_latency 3199022 67
Regular_callback1_latency 4284284 67
Regular_callback3_latency 2118108 68
Regular_callback2_latency 3199756 68
Regular_callback1_latency 4288785 68
Regular_callback3_latency 2116989 69
Regular_callback2_latency 3198598 69
Regular_callback1_latency 4284189 69
Regular_callback3_latency 2103679 70
Regular_callback2_latency 3182511 70
Regular_callback1_latency 4276013 70
Regular_callback3_latency 2120390 71
Regular_callback2_latency 3202932 71
Regular_callback1_latency 4287432 71
Regular_callback3_latency 2108826 72
Regular_callback2_latency 3187388 72
Regular_callback1_latency 4275175 72
Regular_callback3_latency 2111612 73
Regular_callback2_latency 3192126 73
Regular_callback1_latency 4302206 73
Regular_callback3_latency 2107217 74
Regular_callback2_latency 3186204 74
Regular_callback1_latency 4269967 74
Regular_callback3_latency 2114102 75
Regular_callback2_latency 3194384 75
Regular_callback1_latency 4281079 75
Regular_callback3_latency 2116790 76
Regular_callback2_latency 3198922 76
Regular_callback1_latency 4284877 76
Regular_callback3_latency 2117282 77
Regular_callback2_latency 3198815 77
Regular_callback1_latency 4287497 77
Regular_callback3_latency 2116216 78
Regular_callback2_latency 3200050 78
Regular_callback1_latency 4284397 78
Regular_callback3_latency 2106959 79
Regular_callback2_latency 3188805 79
Regular_callback1_latency 4272860 79
Regular_callback3_latency 2112422 80
Regular_callback2_latency 3193277 80
Regular_callback1_latency 4279282 80
Regular_callback3_latency 2109369 81
Regular_callback2_latency 3188916 81
Regular_callback1_latency 4277637 81
Regular_callback3_latency 2122867 82
Regular_callback2_latency 3203645 82
Regular_callback1_latency 4287964 82
Regular_callback3_latency 2113742 83
Regular_callback2_latency 3193763 83
Regular_callback1_latency 4277688 83
Regular_callback3_latency 2140765 84
Regular_callback2_latency 3233620 84
Regular_callback1_latency 4320530 84
Regular_callback3_latency 2166021 85
Regular_callback2_latency 3271553 85
Regular_callback1_latency 4362487 85
Regular_callback3_latency 2111837 86
Regular_callback2_latency 3199111 86
Regular_callback1_latency 4289936 86
Regular_callback3_latency 2112847 87
Regular_callback2_latency 3201133 87
Regular_callback1_latency 4296661 87
Regular_callback3_latency 2114296 88
Regular_callback2_latency 3194537 88
Regular_callback1_latency 4310553 88
Regular_callback3_latency 2107961 89
Regular_callback2_latency 3194638 89
Regular_callback1_latency 4276272 89
Regular_callback3_latency 2125801 90
Regular_callback2_latency 3216645 90
Regular_callback1_latency 4300336 90
Regular_callback3_latency 2117451 91
Regular_callback2_latency 3196969 91
Regular_callback1_latency 4282490 91
Regular_callback3_latency 2126621 92
Regular_callback2_latency 3206134 92
Regular_callback1_latency 4304943 92
Regular_callback3_latency 2137243 93
Regular_callback2_latency 3229435 93
Regular_callback1_latency 4320172 93
Regular_callback3_latency 2165650 94
Regular_callback2_latency 3258052 94
Regular_callback1_latency 4355536 94
Regular_callback3_latency 2134993 95
Regular_callback2_latency 3218438 95
Regular_callback1_latency 4306759 95
Regular_callback3_latency 2107538 96
Regular_callback2_latency 3191274 96
Regular_callback1_latency 4275148 96
Regular_callback3_latency 2141878 97
Regular_callback2_latency 3234057 97
Regular_callback1_latency 4329834 97
Regular_callback3_latency 2112758 98
Regular_callback2_latency 3207055 98
Regular_callback1_latency 4294039 98
Regular_callback3_latency 2114682 99
Regular_callback2_latency 3212451 99
Regular_callback1_latency 4297946 99
Regular_callback3_latency 2110632 100
Regular_callback2_latency 3199141 100
Regular_callback1_latency 4302456 100
Regular_callback3_latency 2114439 101
Regular_callback2_latency 3224127 101
Regular_callback1_latency 4334403 101
Regular_callback3_latency 2122719 102
Regular_callback2_latency 3202943 102
Regular_callback1_latency 4287511 102
Regular_callback3_latency 2130909 103
Regular_callback2_latency 3216834 103
Regular_callback1_latency 4298556 103
Regular_callback3_latency 2109678 104
Regular_callback2_latency 3188716 104
Regular_callback1_latency 4281753 104
Regular_callback3_latency 2114780 105
Regular_callback2_latency 3201669 105
Regular_callback1_latency 4290069 105
Regular_callback3_latency 2120680 106
Regular_callback2_latency 3207583 106
Regular_callback1_latency 4295483 106
Regular_callback3_latency 2115868 107
Regular_callback2_latency 3200569 107
Regular_callback1_latency 4282990 107
